Holdings details

Total World Stock ETF (VT)


Equity,as of 05/31/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,6332439,Fast Retailing Co Ltd,9983,0.08%,Apparel Retail,JP,---,"$78,305,496.36","151,100"
,BPCPYT4,Brookfield Corp,BN,0.08%,Asset Management & Custody Banks,CA,---,"$78,271,378.67","1,718,020"
,B1Z77F6,Bank of New York Mellon Corp/The,BNY,0.08%,Asset Management & Custody Banks,US,---,"$77,466,471.42","555,594"
,B0LMTQ3,China Construction Bank Corp,939,0.08%,Diversified Banks,HK,---,"$77,098,478.93","71,156,026"
,B7VD3F2,Duke Energy Corp,DUK,0.08%,Electric Utilities,US,---,"$76,564,865.04","623,848"
,5671735,Sanofi SA,SAN,0.08%,Pharmaceuticals,FR,---,"$76,549,632.99","873,265"
,2352118,Freeport-McMoRan Inc,FCX,0.08%,Copper,US,---,"$76,479,474.74","1,163,894"
,BTN1Y11,Medtronic PLC,MDT,0.08%,Health Care Equipment,US,---,"$76,448,633.69","1,035,749"
,2171573,Canadian Natural Resources Ltd,CNQ,0.08%,Oil & Gas Exploration & Production,CA,---,"$76,044,710.26","1,672,074"
,2009823,Agnico Eagle Mines Ltd,AEM,0.08%,Gold,CA,---,"$74,947,085.13","407,629"
,2378534,McKesson Corp,MCK,0.08%,Health Care Distributors,US,---,"$74,457,822.72","100,288"
,2867719,Synopsys Inc,SNPS,0.08%,Application Software,US,---,"$73,921,811.64","155,422"
,2459020,Intuit Inc,INTU,0.08%,Application Software,US,---,"$73,633,807.59","222,103"
,BZ57390,ING Groep NV,INGA,0.08%,Diversified Banks,NL,---,"$73,567,268.54","2,375,021"
,6804585,Shin-Etsu Chemical Co Ltd,4063,0.08%,Specialty Chemicals,JP,---,"$73,361,577.94","1,511,280"
,B94Q9V0,T-Mobile US Inc,TMUS,0.08%,Wireless Telecommunication Services,US,---,"$73,211,149.41","390,397"
,2065308,Automatic Data Processing Inc,ADP,0.08%,Human Resource & Employment Services,US,---,"$73,008,431.36","329,104"
,BMH4FS1,Constellation Energy Corp,CEG,0.08%,Electric Utilities,US,---,"$73,005,052.50","253,710"
,2044545,Comcast Corp,CMCSA,0.08%,Integrated Telecommunication Services,US,---,"$72,709,310.25","2,923,575"
,BQRRZ00,Recruit Holdings Co Ltd,6098,0.07%,Human Resource & Employment Services,JP,---,"$72,442,768.67","1,083,327"
,BK1N461,HDFC Bank Ltd,HDFCB,0.07%,Diversified Banks,IN,---,"$72,423,061.89","9,238,834"
,2240202,Cummins Inc,CMI,0.07%,Construction Machinery & Heavy Transportation Equipment,US,---,"$72,045,574.71","111,417"
,6076146,Westpac Banking Corp,WBC,0.07%,Diversified Banks,AU,---,"$71,588,598.04","2,768,785"
,2142784,FedEx Corp,FDX,0.07%,Air Freight & Logistics,US,---,"$71,514,387.00","173,684"
,B7FBFL2,American Tower Corp,AMT,0.07%,Telecom Tower REITs,US,---,"$70,951,693.92","379,502"
,7144569,Enel SpA,ENEL,0.07%,Electric Utilities,IT,---,"$70,805,008.65","6,309,946"
,2365161,General Dynamics Corp,GD,0.07%,Aerospace & Defense,US,---,"$70,661,800.44","203,742"
,BKF2SL7,Blackstone Inc,BX,0.07%,Asset Management & Custody Banks,US,---,"$70,489,982.01","602,633"
,2967181,Williams Cos Inc/The,WMB,0.07%,Oil & Gas Storage & Transportation,US,---,"$70,265,250.55","984,245"
,B5B2106,Fortinet Inc,FTNT,0.07%,Systems Software,US,---,"$70,041,712.23","507,659"
,2692665,PNC Financial Services Group Inc/The,PNC,0.07%,Diversified Banks,US,---,"$69,603,490.24","314,777"
,BSPHGL4,Elevance Health Inc,ELV,0.07%,Managed Health Care,US,---,"$69,447,576.94","176,626"
,BN134B7,Snowflake Inc,SNOW,0.07%,Internet Services & Infrastructure,US,---,"$68,955,823.15","269,833"
,3134865,Barclays PLC,BARC,0.07%,Diversified Banks,GB,---,"$68,862,464.33","11,272,187"
,6597302,Mitsui & Co Ltd,8031,0.07%,Trading Companies & Distributors,JP,---,"$68,761,357.00","2,068,900"
,2160753,CSX Corp,CSX,0.07%,Rail Transportation,US,---,"$68,590,579.54","1,515,479"
,2736035,US Bancorp,USB,0.07%,Diversified Banks,US,---,"$68,408,755.45","1,247,197"
,BFSSDS9,Intercontinental Exchange Inc,ICE,0.07%,Financial Exchanges & Data,US,---,"$68,314,683.90","462,054"
,2210614,Marriott International Inc/MD,MAR,0.07%,"Hotels, Resorts & Cruise Lines",US,---,"$67,836,740.40","180,609"
,2779201,SLB Ltd,SLB,0.07%,Oil & Gas Equipment & Services,US,---,"$67,103,100.55","1,230,121"
,B1FLZ21,Ciena Corp,CIEN,0.07%,Communications Equipment,US,---,"$66,842,496.00","115,200"
,BY7QL61,Johnson Controls International plc,JCI,0.07%,Building Products,US,---,"$66,835,613.00","498,550"
,B505PN7,NXP Semiconductors NV,NXPI,0.07%,Semiconductors,US,---,"$66,587,576.20","207,212"
,6624608,National Australia Bank Ltd,NAB,0.07%,Diversified Banks,AU,---,"$66,554,870.68","2,479,629"
,0263494,BAE Systems PLC,BA/,0.07%,Aerospace & Defense,GB,---,"$66,380,077.84","2,439,842"
,BMBQR09,Canadian Pacific Kansas City Ltd,CP,0.07%,Rail Transportation,CA,---,"$66,375,870.02","743,372"
,2595708,3M Co,MMM,0.07%,Industrial Conglomerates,US,---,"$66,044,509.61","431,297"
,6099626,Reliance Industries Ltd,RELIANCE,0.07%,Oil & Gas Refining & Marketing,IN,---,"$65,798,087.08","4,732,999"
,2313405,Emerson Electric Co,EMR,0.07%,Electrical Components & Equipment,US,---,"$65,686,477.14","456,727"
,6597045,Mitsubishi Electric Corp,6503,0.07%,Heavy Electrical Equipment,JP,---,"$65,656,306.57","1,615,040"
,0870612,Lloyds Banking Group PLC,LLOY,0.07%,Diversified Banks,GB,---,"$65,597,571.83","47,957,277"
,6513126,Tokio Marine Holdings Inc,8766,0.07%,Property & Casualty Insurance,JP,---,"$65,159,950.15","1,467,356"
,B4T3BW6,Glencore PLC,GLEN,0.07%,Diversified Metals & Mining,GB,---,"$65,142,131.73","8,565,257"
,B23X1H3,MercadoLibre Inc,MELI,0.07%,Broadline Retail,US,---,"$65,136,699.10","38,414"
,BDR05C0,National Grid PLC,NG/,0.07%,Multi-Utilities,GB,---,"$64,400,277.93","4,012,346"
,BMGYJ02,Kioxia Holdings Corp,285A,0.07%,Semiconductors,JP,---,"$64,238,950.90","156,000"
,B8CKK03,Mondelez International Inc,MDLZ,0.07%,Packaged Foods & Meats,US,---,"$64,208,436.24","1,049,672"
